סמל ישוב,שם ישוב,דירוג לפי  ממוצע שנות לימוד של בני 54-25,ערך שנות לימוד,דירוג לפי אחוז בעלי תואר אקדמי מבני 54-25,ערך בעלי תואר
472,אבו גוש,41,11.2,16,8.0
473,אבו סנאן,64,11.8,87,17.9
182,אבן יהודה,221,15.1,228,51.0
2710,אום אל-פחם,19,10.6,22,8.7
31,אופקים,84,12.5,38,11.2
2400,אור יהודה,73,12.1,84,17.2
1020,אור עקיבא,92,12.6,90,18.4
3760,אורנית,215,15.0,210,46.6
565,אזור,131,13.5,135,27.3
2600,אילת,101,13.0,80,16.7
478,אכסאל,35,11.0,61,13.7
41,אליכין,126,13.5,132,25.9
1309,אלעד,127,13.5,62,13.8
3750,אלפי מנשה,196,14.7,180,37.5
3560,אלקנה,243,16.0,251,71.5
529,אעבלין,17,10.6,74,16.0
3650,אפרתה,244,16.0,247,65.6
3570,אריאל,148,13.8,147,29.7
70,אשדוד,112,13.1,118,23.4
7100,אשקלון,105,13.0,130,25.8
6000,*באקה אל-גרביה,39,11.2,20,8.6
155,באר טוביה,166,14.1,167,33.3
2530,באר יעקב,142,13.7,136,27.4
9000,באר שבע,140,13.7,134,27.2
482,בועיינה-נוג'ידאת,25,10.7,47,12.1
4001,בוקעאתא,15,10.5,60,13.5
998,ביר אל-מכסור,11,10.1,18,8.3
3574,בית אל,217,15.0,216,47.7
3652,בית אריה,167,14.2,148,29.8
480,בית ג'ן,50,11.5,78,16.3
466,בית דגן,124,13.4,145,29.6
9200,בית שאן,80,12.3,40,11.2
2610,בית שמש,128,13.5,124,25.4
3780,ביתר עילית,122,13.3,30,10.3
6100,בני ברק,117,13.3,49,12.4
1066,"בני עי""ש",141,13.7,174,36.0
9800,בנימינה-גבעת עדה,238,15.6,239,59.4
1326,"בסמ""ה",47,11.3,53,12.6
944,בסמת טבעון,24,10.7,7,5.4
483,*בענה,44,11.3,82,17.0
6200,בת ים,97,12.8,112,22.4
1292,ג'דיידה-מכר,42,11.2,66,14.9
485,ג'ולס,65,11.9,105,20.8
627,ג'לג'וליה,13,10.2,13,7.3
541,ג'סר א-זרקא,5,8.8,37,10.9
487,ג'ש (גוש חלב),164,14.1,191,40.7
628,*ג'ת,82,12.4,33,10.7
3730,גבעת זאב,150,13.8,128,25.7
681,גבעת שמואל,236,15.5,241,61.1
6300,גבעתיים,240,15.7,240,59.7
2550,גדרה,158,14.0,171,35.3
370,גזר,192,14.6,196,42.0
166,גן יבנה,161,14.1,153,30.3
229,גני תקווה,197,14.7,221,49.0
494,*דאלית אל-כרמל,46,11.3,34,10.8
489,דבורייה,72,12.1,65,14.4
490,*דייר אל-אסד,27,10.7,46,12.0
492,דייר חנא,68,12.0,102,20.5
2200,דימונה,88,12.6,39,11.2
9700,הוד השרון,228,15.2,232,53.5
3769,הר אדר,249,16.3,242,62.3
6400,הרצלייה,194,14.6,214,47.2
9300,זכרון יעקב,237,15.6,231,53.2
1290,זמר,58,11.6,54,12.6
975,זרזיר,16,10.5,8,5.5
6500,חדרה,121,13.3,125,25.4
6600,חולון,123,13.4,133,26.0
1303,חורה,23,10.7,27,9.9
496,חורפיש,76,12.3,106,21.3
4000,חיפה,183,14.4,198,42.3
2034,חצור הגלילית,77,12.3,41,11.3
6700,טבריה,87,12.5,50,12.5
498,טורעאן,55,11.6,115,23.0
2730,טייבה,57,11.6,42,11.6
2720,טירה,51,11.5,56,12.8
2100,טירת כרמל,74,12.1,55,12.7
8900,טמרה,29,10.8,43,11.6
1295,יאנוח-ג'ת,59,11.6,89,18.1
46,יבנאל,107,13.1,94,19.2
2660,יבנה,109,13.1,113,22.4
9400,יהוד,145,13.7,166,33.0
499,יפיע,61,11.7,71,15.5
240,יקנעם עילית,152,13.9,188,40.4
831,ירוחם,89,12.6,51,12.5
3000,ירושלים,113,13.2,137,27.7
502,ירכא,30,10.8,29,10.2
504,כאבול,48,11.4,75,16.3
505,כאוכב אבו אל-היג'א,63,11.7,86,17.6
1224,כוכב יאיר,242,15.9,245,64.3
1059,כסיפה,36,11.0,117,23.4
1296,כסרא-סמיע,9,9.5,11,6.2
978,כעביה-טבאש-חג'אג'רה,28,10.8,68,15.2
633,כפר ברא,70,12.1,107,21.4
1263,כפר ורדים,247,16.1,246,64.3
507,כפר יאסיף,110,13.1,121,24.3
168,כפר יונה,179,14.4,192,41.0
508,כפר כמא,90,12.6,103,20.6
509,כפר כנא,31,10.9,19,8.4
510,כפר מנדא,18,10.6,21,8.7
6900,כפר סבא,191,14.6,205,45.2
634,כפר קאסם,67,11.9,88,17.9
654,כפר קרע,100,12.9,111,22.0
47,כפר תבור,227,15.2,227,50.5
1139,כרמיאל,176,14.3,156,30.8
1271,להבים,251,16.4,237,57.4
7000,לוד,69,12.0,83,17.1
1060,לקיה,8,9.5,2,1.0
1015,מבשרת ציון,195,14.7,189,40.4
4201,מג'דל שמס,66,11.9,96,19.3
516,*מג'ד אל-כרום,38,11.1,32,10.5
481,מגאר,52,11.5,45,11.9
874,מגדל העמק,98,12.8,104,20.7
1200,מודיעין-מכבים-רעות,239,15.7,238,58.0
3797,מודיעין עילית,115,13.3,24,9.1
28,מזכרת בתיה,223,15.1,224,49.5
517,מזרעה,32,10.9,14,7.8
1268,מיתר,248,16.1,248,66.9
4203,מסעדה,26,10.7,28,10.1
518,מעיליא,171,14.3,165,33.0
3616,מעלה אדומים,147,13.8,150,29.9
1327,מעלה עירון,20,10.6,25,9.7
1063,מעלות-תרשיחא,139,13.7,120,23.9
99,מצפה רמון,133,13.5,77,16.3
520,משהד,33,10.9,26,9.8
9100,נהרייה,144,13.7,142,28.9
522,נחף,37,11.1,44,11.7
7200,נס ציונה,168,14.2,178,36.9
7300,נצרת,71,12.1,91,18.7
1061,נצרת עילית,119,13.3,138,27.9
2500,נשר,199,14.7,197,42.1
246,נתיבות,96,12.8,72,15.8
7400,נתניה,116,13.3,144,29.2
525,סאג'ור,60,11.7,85,17.2
587,סביון,250,16.4,252,75.0
7500,סח'נין,54,11.6,63,13.9
666,עומר,252,16.7,249,70.0
530,עיילבון,86,12.5,161,31.9
511,עילוט,10,9.5,6,4.7
532,עין מאהל,45,11.3,48,12.3
7600,עכו,79,12.3,64,13.9
3660,עמנואל,106,13.0,58,13.3
534,*עספיא,78,12.3,73,15.9
7700,עפולה,93,12.7,95,19.2
531,עראבה,56,11.6,99,20.0
2560,ערד,125,13.4,123,25.1
637,ערערה,81,12.3,92,19.1
1192,ערערה-בנגב,3,5.5,12,7.3
537,פוריידיס,22,10.6,52,12.5
535,פסוטה,75,12.2,100,20.4
536,פקיעין (בוקייעה),85,12.5,157,31.0
7800,פרדס חנה-כרכור,160,14.0,170,34.6
171,פרדסייה,181,14.4,140,28.4
7900,פתח תקווה,151,13.9,172,35.7
8000,צפת,103,13.0,93,19.2
3557,קדומים,201,14.8,193,41.1
195,קדימה-צורן,214,14.9,219,48.7
638,קלנסווה,21,10.6,10,5.9
1247,קציר-חריש,204,14.8,194,41.4
4100,קצרין,129,13.5,129,25.8
2620,קריית אונו,211,14.8,209,46.6
3611,קריית ארבע,155,14.0,168,33.7
6800,קריית אתא,111,13.1,98,19.9
9500,קריית ביאליק,134,13.5,139,28.0
2630,קריית גת,91,12.6,79,16.7
2300,קריית טבעון,241,15.8,230,51.9
9600,קריית ים,95,12.7,110,22.0
1137,קריית יערים,165,14.1,108,21.6
8200,קריית מוצקין,146,13.8,143,29.0
1034,קריית מלאכי,49,11.4,35,10.9
469,קריית עקרון,94,12.7,69,15.5
2800,קריית שמונה,99,12.9,81,16.8
3640,קרני שומרון,189,14.6,190,40.4
543,ראמה,104,13.0,114,22.7
2640,ראש העין,162,14.1,162,32.4
26,ראש פינה,178,14.4,163,32.4
8300,ראשון לציון,137,13.6,158,31.2
1161,רהט,6,9.0,5,4.0
8400,רחובות,170,14.2,187,40.0
542,ריינה,53,11.6,36,10.9
922,רכסים,120,13.3,9,5.7
8500,רמלה,62,11.7,31,10.4
8600,רמת גן,203,14.8,204,45.0
2650,רמת השרון,229,15.2,235,55.7
122,רמת ישי,218,15.0,222,49.3
8700,רעננה,232,15.4,234,55.6
913,שבלי - אום אל-גנם,34,10.9,15,7.9
1286,שגב-שלום,4,8.1,23,8.9
1031,שדרות,83,12.5,76,16.3
1304,שוהם,246,16.1,244,63.9
812,שלומי,118,13.3,97,19.4
538,שעב,14,10.3,59,13.4
692,שפיר,132,13.5,155,30.6
8800,שפרעם,40,11.2,67,14.9
5000,תל אביב -יפו,212,14.9,220,48.7
154,תל מונד,231,15.4,243,63.3
1054,תל שבע,1,3.7,1,0.8
